import time: self [us] | cumulative | imported package
import time:       135 |        135 |   _io
import time:        21 |         21 |   marshal
import time:       175 |        175 |   posix
import time:       379 |        708 | _frozen_importlib_external
import time:       402 |        402 |   time
import time:       145 |        546 | zipimport
import time:        28 |         28 |     _codecs
import time:       344 |        372 |   codecs
import time:       252 |        252 |   encodings.aliases
import time:       417 |       1040 | encodings
import time:       109 |        109 | encodings.utf_8
import time:        43 |         43 | _signal
import time:        19 |         19 |     _abc
import time:        94 |        113 |   abc
import time:        95 |        208 | io
import time:        23 |         23 |       _stat
import time:        51 |         74 |     stat
import time:       508 |        508 |     _collections_abc
import time:        28 |         28 |       errno
import time:        52 |         52 |       genericpath
import time:        82 |        160 |     posixpath
import time:       291 |       1031 |   os
import time:        49 |         49 |   _sitebuiltins
import time:        59 |         59 |             itertools
import time:        76 |         76 |             keyword
import time:        38 |         38 |               _operator
import time:       146 |        183 |             operator
import time:        97 |         97 |             reprlib
import time:        30 |         30 |             _collections
import time:       402 |        844 |           collections
import time:        24 |         24 |           _functools
import time:       466 |       1333 |         functools
import time:       143 |        143 |         types
import time:       883 |       2358 |       enum
import time:        35 |         35 |         _sre
import time:       140 |        140 |           re._constants
import time:       197 |        336 |         re._parser
import time:        63 |         63 |         re._casefix
import time:       212 |        645 |       re._compiler
import time:        85 |         85 |       copyreg
import time:       278 |       3364 |     re
import time:       422 |       3786 |   sitecustomize
import time:       446 |       5311 | site
import time:       152 |        152 | linecache
import time:       247 |        247 |     apps
import time:       274 |        521 |   apps.ui
import time:       451 |        451 |         contextlib
import time:       245 |        245 |         fnmatch
import time:       869 |       1564 |       glob
import time:       439 |       2003 |     pathlib._abc
import time:        42 |         42 |         _winapi
import time:        35 |         35 |         nt
import time:        33 |         33 |         nt
import time:        33 |         33 |         nt
import time:        31 |         31 |         nt
import time:        31 |         31 |         nt
import time:        30 |         30 |         nt
import time:        31 |         31 |         nt
import time:       276 |        538 |       ntpath
import time:       410 |        410 |       warnings
import time:        36 |         36 |       pwd
import time:      8187 |       8187 |       grp
import time:       451 |       9620 |     pathlib._local
import time:       806 |      12428 |   pathlib
import time:       213 |        213 |     starlette
import time:       675 |        675 |       __future__
import time:       282 |        956 |     starlette.status
import time:        15 |         15 |         _typing
import time:      1522 |       1536 |       typing
import time:       275 |        275 |               concurrent
import time:       731 |        731 |                     textwrap
import time:       290 |        290 |                     _colorize
import time:       571 |       1592 |                   traceback
import time:       260 |        260 |                     _weakrefset
import time:       427 |        686 |                   weakref
import time:        16 |         16 |                     _string
import time:       431 |        446 |                   string
import time:       804 |        804 |                   threading
import time:        15 |         15 |                   atexit
import time:       947 |       4488 |                 logging
import time:       459 |       4947 |               concurrent.futures._base
